,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
147,2018020163.0,2018-10-28,OTT,VGK,0,0,4,3,53,22,1,1.443,2.5836
148,2018020164.0,2018-10-28,SJS,ANA,0,0,3,4,30,49,0,3.9398,1.4454
149,2018020165.0,2018-10-29,CGY,TOR,0,0,1,3,25,34,0,3.0282,2.1142000000000003
150,2018020167.0,2018-10-30,CGY,BUF,0,1,1,2,29,38,0,3.705,2.4576
151,2018020168.0,2018-10-30,NYI,PIT,0,0,3,6,38,25,0,4.0528,4.6036
152,2018020169.0,2018-10-30,BOS,CAR,0,0,2,3,44,31,0,2.1904,4.797
153,2018020170.0,2018-10-30,DET,CBJ,0,0,3,5,37,32,0,4.2506,2.9304
154,2018020171.0,2018-10-30,DAL,MTL,0,0,1,4,35,22,0,1.8974,2.6464
155,2018020172.0,2018-10-30,NJD,TBL,0,0,8,3,44,30,1,3.078,3.1648
156,2018020173.0,2018-10-30,VGK,NSH,0,0,4,1,28,24,1,1.7284,2.9032
157,2018020174.0,2018-10-30,MIN,EDM,0,0,3,4,37,28,0,1.9028,3.5652
158,2018020175.0,2018-10-30,OTT,ARI,0,0,5,1,35,26,1,2.8008,1.379
159,2018020176.0,2018-10-30,PHI,ANA,0,0,2,3,25,36,0,3.6388000000000003,1.6440000000000001
160,2018020179.0,2018-11-01,DAL,TOR,0,0,1,2,32,19,0,2.049,2.9758
161,2018020180.0,2018-11-01,WPG,FLA,0,0,2,4,38,36,0,3.3374,2.803
162,2018020182.0,2018-11-01,WSH,MTL,0,0,6,4,44,31,1,3.2611999999999997,3.7048
163,2018020183.0,2018-11-01,BUF,OTT,0,0,4,2,32,48,1,3.4592,3.2756
164,2018020184.0,2018-11-01,NJD,DET,0,0,4,3,31,28,1,2.7234,2.5284
165,2018020186.0,2018-11-01,VGK,STL,0,0,5,3,26,34,1,2.2762000000000002,3.5452
166,2018020188.0,2018-11-01,CHI,EDM,0,0,4,0,29,40,1,3.011,4.217
167,2018020189.0,2018-11-01,NYR,ANA,0,0,2,3,30,24,0,2.0056,2.2744
